price,fueltype,aspiration,carbody,drivewheel,wheelbase,curbweight,enginetype,cylindernumber,enginesize,boreratio,horsepower,citympg,highwaympg,carlength,carwidth
13495.0,gas,std,convertible,rwd,88.6,2548,dohc,four,130,3.47,111,21,27,168.8,64.1
16500.0,gas,std,convertible,rwd,88.6,2548,dohc,four,130,3.47,111,21,27,168.8,64.1
16500.0,gas,std,hatchback,rwd,94.5,2823,ohcv,six,152,2.68,154,19,26,171.2,65.5
13950.0,gas,std,sedan,fwd,99.8,2337,ohc,four,109,3.19,102,24,30,176.6,66.2
17450.0,gas,std,sedan,4wd,99.4,2824,ohc,five,136,3.19,115,18,22,176.6,66.4
15250.0,gas,std,sedan,fwd,99.8,2507,ohc,five,136,3.19,110,19,25,177.3,66.3
17710.0,gas,std,sedan,fwd,105.8,2844,ohc,five,136,3.19,110,19,25,192.7,71.4
18920.0,gas,std,wagon,fwd,105.8,2954,ohc,five,136,3.19,110,19,25,192.7,71.4
23875.0,gas,turbo,sedan,fwd,105.8,3086,ohc,five,131,3.13,140,17,20,192.7,71.4
17859.167,gas,turbo,hatchback,4wd,99.5,3053,ohc,five,131,3.13,160,16,22,178.2,67.9
16430.0,gas,std,sedan,rwd,101.2,2395,ohc,four,108,3.5,101,23,29,176.8,64.8
16925.0,gas,std,sedan,rwd,101.2,2395,ohc,four,108,3.5,101,23,29,176.8,64.8
20970.0,gas,std,sedan,rwd,101.2,2710,ohc,six,164,3.31,121,21,28,176.8,64.8
21105.0,gas,std,sedan,rwd,101.2,2765,ohc,six,164,3.31,121,21,28,176.8,64.8
24565.0,gas,std,sedan,rwd,103.5,3055,ohc,six,164,3.31,121,20,25,189.0,66.9
30760.0,gas,std,sedan,rwd,103.5,3230,ohc,six,209,3.62,182,16,22,189.0,66.9
41315.0,gas,std,sedan,rwd,103.5,3380,ohc,six,209,3.62,182,16,22,193.8,67.9
36880.0,gas,std,sedan,rwd,110.0,3505,ohc,six,209,3.62,182,15,20,197.0,70.9
5151.0,gas,std,hatchback,fwd,88.4,1488,l,three,61,2.91,48,47,53,141.1,60.3
6295.0,gas,std,hatchback,fwd,94.5,1874,ohc,four,90,3.03,70,38,43,155.9,63.6
6575.0,gas,std,sedan,fwd,94.5,1909,ohc,four,90,3.03,70,38,43,158.8,63.6
5572.0,gas,std,hatchback,fwd,93.7,1876,ohc,four,90,2.97,68,37,41,157.3,63.8
6377.0,gas,std,hatchback,fwd,93.7,1876,ohc,four,90,2.97,68,31,38,157.3,63.8
7957.0,gas,turbo,hatchback,fwd,93.7,2128,ohc,four,98,3.03,102,24,30,157.3,63.8
6229.0,gas,std,hatchback,fwd,93.7,1967,ohc,four,90,2.97,68,31,38,157.3,63.8
6692.0,gas,std,sedan,fwd,93.7,1989,ohc,four,90,2.97,68,31,38,157.3,63.8
7609.0,gas,std,sedan,fwd,93.7,1989,ohc,four,90,2.97,68,31,38,157.3,63.8
8558.0,gas,turbo,sedan,fwd,93.7,2191,ohc,four,98,3.03,102,24,30,157.3,63.8
8921.0,gas,std,wagon,fwd,103.3,2535,ohc,four,122,3.34,88,24,30,174.6,64.6
12964.0,gas,turbo,hatchback,fwd,95.9,2811,ohc,four,156,3.6,145,19,24,173.2,66.3
6479.0,gas,std,hatchback,fwd,86.6,1713,ohc,four,92,2.91,58,49,54,144.6,63.9
