price,fueltype,aspiration,carbody,drivewheel,wheelbase,curbweight,enginetype,enginesize,boreratio,horsepower,citympg,highwaympg,carlength,carwidth
18344.0,diesel,std,sedan,rwd,104.9,2700,ohc,134,3.43,72,31,39,175.0,66.1
15580.0,gas,std,sedan,rwd,107.9,3075,l,120,3.46,95,19,24,186.7,68.4
6918.0,gas,std,wagon,fwd,95.7,2280,ohc,92,3.05,62,31,37,169.7,63.6
7499.0,gas,std,sedan,fwd,94.5,1971,ohc,97,3.15,69,31,37,165.3,63.8
9095.0,gas,std,hatchback,fwd,96.5,2289,ohc,110,3.15,86,27,33,167.5,65.2
6229.0,gas,std,hatchback,fwd,93.7,1967,ohc,90,2.97,68,31,38,157.3,63.8
7053.0,gas,std,hatchback,fwd,93.7,2120,ohcf,108,3.62,73,26,31,157.9,63.6
16900.0,diesel,turbo,sedan,rwd,107.9,3252,l,152,3.7,95,28,33,186.7,68.4
12964.0,gas,turbo,hatchback,fwd,95.9,2811,ohc,156,3.6,145,19,24,173.2,66.3
6295.0,gas,std,hatchback,fwd,94.5,1874,ohc,90,3.03,70,38,43,155.9,63.6
16558.0,gas,std,hatchback,rwd,102.9,2976,dohc,171,3.27,161,20,24,183.5,67.7
7099.0,diesel,std,sedan,fwd,94.5,2017,ohc,103,2.99,55,45,50,165.3,63.8
8948.0,gas,std,sedan,fwd,102.4,2326,ohc,122,3.31,92,29,34,175.6,66.5
7349.0,gas,std,wagon,fwd,94.5,2024,ohc,97,3.15,69,31,37,170.2,63.8
15250.0,gas,std,sedan,fwd,99.8,2507,ohc,136,3.19,110,19,25,177.3,66.3
8449.0,gas,std,hardtop,rwd,98.4,2540,ohc,146,3.62,116,24,30,176.2,65.6
11845.0,gas,std,hatchback,rwd,95.3,2380,rotor,70,3.33,101,17,23,169.0,65.7
37028.0,gas,std,convertible,rwd,89.5,2800,ohcf,194,3.74,207,17,25,168.9,65.0
5389.0,gas,std,hatchback,fwd,93.7,1918,ohc,92,2.97,68,37,41,157.3,64.4
9233.0,gas,std,sedan,4wd,97.0,2385,ohcf,108,3.62,82,24,25,172.0,65.4
17199.0,gas,std,hatchback,rwd,91.3,3071,ohcv,181,3.43,160,19,25,170.7,67.9
11248.0,gas,std,hatchback,fwd,102.4,2458,ohc,122,3.31,92,27,32,175.6,66.5
16503.0,gas,turbo,hatchback,rwd,102.7,2910,ohc,140,3.78,175,19,24,178.4,68.0
10698.0,diesel,turbo,sedan,fwd,102.4,2480,ohc,110,3.27,73,30,33,175.6,66.5
6855.0,gas,std,hatchback,fwd,86.6,1819,ohc,92,2.91,76,31,38,144.6,63.9
20970.0,gas,std,sedan,rwd,101.2,2710,ohc,164,3.31,121,21,28,176.8,64.8
7295.0,gas,std,sedan,fwd,96.5,2010,ohc,92,2.91,76,30,34,163.4,64.0
22018.0,gas,std,hatchback,rwd,94.5,2778,ohc,151,3.94,143,19,27,168.9,68.3
10345.0,gas,std,sedan,fwd,96.5,2293,ohc,110,3.15,100,25,31,169.1,66.0
6938.0,gas,std,sedan,fwd,95.7,2081,ohc,98,3.19,70,30,37,166.3,64.4
18150.0,gas,turbo,hatchback,fwd,99.1,2808,dohc,121,3.54,160,19,26,186.6,66.5
7603.0,gas,std,hatchback,4wd,93.3,2240,ohcf,108,3.62,73,26,31,157.3,63.8
6095.0,gas,std,hatchback,fwd,93.1,1900,ohc,91,3.03,68,31,38,159.1,64.2
